JobID,Date,Status,LaborCost,VehicleID,MechanicID
1,2026-05-01,Completed,150.00,1,1
2,2026-05-02,Completed,200.00,2,2
3,2026-05-03,In Progress,75.50,3,3
4,2026-05-04,Pending,120.00,4,4
5,2026-05-05,Completed,300.00,5,5
6,2026-05-06,Completed,90.00,6,6
7,2026-05-07,In Progress,180.00,7,7
8,2026-05-08,Completed,210.00,8,8
9,2026-05-09,Pending,160.00,9,9
10,2026-05-10,Completed,250.00,10,10
11,2026-05-11,Completed,140.00,11,11
12,2026-05-12,In Progress,190.00,12,12
13,2026-05-13,Completed,310.00,13,13
14,2026-05-14,Pending,110.00,14,14
15,2026-05-15,Completed,175.00,15,15
16,2026-05-01,Completed,220.00,16,16
17,2026-05-02,In Progress,80.00,17,17
18,2026-05-03,Completed,150.00,18,18
19,2026-05-04,Pending,130.00,19,19
20,2026-05-05,Completed,280.00,20,20
21,2026-05-06,Completed,95.00,21,21
22,2026-05-07,In Progress,185.00,22,22
23,2026-05-08,Completed,215.00,23,23
24,2026-05-09,Pending,165.00,24,24
25,2026-05-10,Completed,255.00,25,25
26,2026-05-11,Completed,145.00,26,26
27,2026-05-12,In Progress,195.00,27,27
28,2026-05-13,Completed,315.00,28,28
29,2026-05-14,Pending,115.00,29,29
30,2026-05-15,Completed,180.00,30,30
31,2026-05-01,Completed,225.00,31,31
32,2026-05-02,In Progress,85.00,32,32
33,2026-05-03,Completed,155.00,33,33
34,2026-05-04,Pending,135.00,34,34
35,2026-05-05,Completed,285.00,35,35
36,2026-05-06,Completed,100.00,36,36
37,2026-05-07,In Progress,190.00,37,37
38,2026-05-08,Completed,220.00,38,38
39,2026-05-09,Pending,170.00,39,39
40,2026-05-10,Completed,260.00,40,40
41,2026-05-11,Completed,150.00,41,41
42,2026-05-12,In Progress,200.00,42,42
43,2026-05-13,Completed,320.00,43,43
44,2026-05-14,Pending,120.00,44,44
45,2026-05-15,Completed,185.00,45,45
46,2026-05-01,Completed,230.00,46,46
47,2026-05-02,In Progress,90.00,47,47
48,2026-05-03,Completed,160.00,48,48
49,2026-05-04,Pending,140.00,49,49
50,2026-05-05,Completed,290.00,50,50
