InvoiceID,Date,PaymentStatus,PaymentMethod,JobID
1,2026-05-02,Paid,Credit Card,1
2,2026-05-03,Paid,Cash,2
3,2026-05-04,Unpaid,N/A,3
4,2026-05-05,Unpaid,N/A,4
5,2026-05-06,Paid,Debit Card,5
6,2026-05-07,Paid,Credit Card,6
7,2026-05-08,Unpaid,N/A,7
8,2026-05-09,Paid,Bank Transfer,8
9,2026-05-10,Unpaid,N/A,9
10,2026-05-11,Paid,Credit Card,10
11,2026-05-12,Paid,Cash,11
12,2026-05-13,Unpaid,N/A,12
13,2026-05-14,Paid,Debit Card,13
14,2026-05-15,Unpaid,N/A,14
15,2026-05-16,Paid,Credit Card,15
16,2026-05-02,Paid,Credit Card,16
17,2026-05-03,Unpaid,N/A,17
18,2026-05-04,Paid,Cash,18
19,2026-05-05,Unpaid,N/A,19
20,2026-05-06,Paid,Debit Card,20
21,2026-05-07,Paid,Credit Card,21
22,2026-05-08,Unpaid,N/A,22
23,2026-05-09,Paid,Bank Transfer,23
24,2026-05-10,Unpaid,N/A,24
25,2026-05-11,Paid,Credit Card,25
26,2026-05-12,Paid,Cash,26
27,2026-05-13,Unpaid,N/A,27
28,2026-05-14,Paid,Debit Card,28
29,2026-05-15,Unpaid,N/A,29
30,2026-05-16,Paid,Credit Card,30
31,2026-05-02,Paid,Credit Card,31
32,2026-05-03,Unpaid,N/A,32
33,2026-05-04,Paid,Cash,33
34,2026-05-05,Unpaid,N/A,34
35,2026-05-06,Paid,Debit Card,35
36,2026-05-07,Paid,Credit Card,36
37,2026-05-08,Unpaid,N/A,37
38,2026-05-09,Paid,Bank Transfer,38
39,2026-05-10,Unpaid,N/A,39
40,2026-05-11,Paid,Credit Card,40
41,2026-05-12,Paid,Cash,41
42,2026-05-13,Unpaid,N/A,42
43,2026-05-14,Paid,Debit Card,43
44,2026-05-15,Unpaid,N/A,44
45,2026-05-16,Paid,Credit Card,45
46,2026-05-02,Paid,Credit Card,46
47,2026-05-03,Unpaid,N/A,47
48,2026-05-04,Paid,Cash,48
49,2026-05-05,Unpaid,N/A,49
50,2026-05-06,Paid,Debit Card,50
