JobID,PartID,QuantityUsed
1,37,5
1,1,1
2,3,2
2,4,2
3,6,1
4,5,4
5,10,1
5,13,1
6,7,2
6,42,1
7,12,1
7,14,1
8,15,1
8,39,2
9,8,2
9,9,2
10,25,2
10,26,2
11,38,5
11,1,1
12,43,1
12,2,1
13,34,1
13,35,1
14,17,1
14,18,1
15,19,4
16,22,1
16,23,1
17,20,2
18,31,2
18,32,2
19,28,2
19,29,2
20,11,1
21,16,1
21,39,1
22,40,2
23,36,4
24,41,2
25,48,1
26,49,1
27,50,1
28,47,4
29,46,1
30,45,1
31,44,1
32,27,2
33,30,2
34,33,1
35,24,1
36,21,1
37,37,6
37,1,1
38,3,2
39,6,1
40,5,6
41,10,1
42,7,2
43,12,1
44,15,1
45,8,2
46,25,2
47,38,4
48,43,1
49,34,1
50,17,1
